PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu)
88434.0,88434.0,0,1.0,12,Hotel,Hotel,88434.0,7,DOWNTOWN,47.6122,-122.33799,1927,7226362.5
103566.0,88502.0,15064,1.0,11,Hotel,Hotel,83880.0,7,DOWNTOWN,47.61317,-122.33393,1996,8387933.0
224864.625,196071.25,196718,1.0,41,Hotel,Hotel,192159.375,7,DOWNTOWN,47.61393,-122.3381,1969,16336999.203125
61320.0,61320.0,0,1.0,10,Hotel,Hotel,61320.0,7,DOWNTOWN,47.61412,-122.33664,1926,6794584.0
175580.0,113580.0,62000,1.0,18,Hotel,Hotel,123445.0,7,DOWNTOWN,47.61375,-122.34047,1980,14172606.0
97288.0,60090.0,37198,1.0,2,Other,Police Station,88830.0,7,DOWNTOWN,47.61623,-122.33657,1999,12086616.0
83008.0,83008.0,0,1.0,11,Hotel,Hotel,81352.0,7,DOWNTOWN,47.6139,-122.33283,1926,5758795.0
102761.0,102761.0,0,1.0,8,Other,Other - Entertainment/Public Assembly,102761.0,7,DOWNTOWN,47.61327,-122.33136,1926,6298131.5
163984.0,163984.0,0,1.0,15,Hotel,Hotel,163984.0,7,DOWNTOWN,47.60294,-122.33263,1904,13723820.0
153163.0,133884.0,19279,1.0,11,Hotel,Hotel,133884.0,7,DOWNTOWN,47.60695,-122.33414,1969,16016644.0
224864.625,196071.25,61161,1.0,25,Hotel,Hotel,192159.375,7,DOWNTOWN,47.60713,-122.33323,1998,16336999.203125
65009.0,65009.0,0,1.0,9,Hotel,Hotel,65009.0,7,DOWNTOWN,47.60699,-122.33346,1928,6596057.5
224864.625,196071.25,57600,1.0,33,Hotel,Hotel,192159.375,7,DOWNTOWN,47.60809,-122.33212,1980,16336999.203125
92190.0,66990.0,25200,1.0,11,Hotel,Hotel,67390.0,7,DOWNTOWN,47.60755,-122.33244,1922,10750010.0
224864.625,196071.25,57000,1.0,11,Other,Library,192159.375,7,DOWNTOWN,47.60649,-122.33297,2004,16336999.203125
103911.0,103911.0,0,1.0,6,Other,Fitness Center/Health Club/Gym,90000.0,7,DOWNTOWN,47.60546,-122.33279,1930,9956396.0
