PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu),HasParking,BuildingAge,ParkingRatio,AreaPerFloor,BuildingDensity,GeoCluster
88434.0,88434.0,0,1.0,12,Hotel,Hotel,88434.0,7,DOWNTOWN,47.6122,-122.33799,1927,7226362.5,0,89,0.0,7369.5,1.1307868014564535e-05,2.0
103566.0,88502.0,15064,1.0,11,Hotel,Hotel,83880.0,7,DOWNTOWN,47.61317,-122.33393,1996,8387933.0,1,20,0.1454531409922175,8045.636363636364,9.655678504528514e-06,2.0
224864.625,196071.25,196718,1.0,41,Hotel,Hotel,192159.375,7,DOWNTOWN,47.61393,-122.3381,1969,16336999.203125,1,47,0.874828577416301,4782.225609756098,4.447120128388358e-06,2.0
61320.0,61320.0,0,1.0,10,Hotel,Hotel,61320.0,7,DOWNTOWN,47.61412,-122.33664,1926,6794584.0,0,90,0.0,6132.0,1.6307893020221788e-05,2.0
175580.0,113580.0,62000,1.0,18,Hotel,Hotel,123445.0,7,DOWNTOWN,47.61375,-122.34047,1980,14172606.0,1,36,0.3531153889964688,6310.0,5.695409499943046e-06,2.0
97288.0,60090.0,37198,1.0,2,Other,Police Station,88830.0,7,DOWNTOWN,47.61623,-122.33657,1999,12086616.0,1,17,0.382349313378834,30045.0,1.0278759970397172e-05,2.0
83008.0,83008.0,0,1.0,11,Hotel,Hotel,81352.0,7,DOWNTOWN,47.6139,-122.33283,1926,5758795.0,0,90,0.0,7546.181818181818,1.2047031611410948e-05,2.0
102761.0,102761.0,0,1.0,8,Other,Other - Entertainment/Public Assembly,102761.0,7,DOWNTOWN,47.61327,-122.33136,1926,6298131.5,0,90,0.0,12845.125,9.73131830169033e-06,2.0
163984.0,163984.0,0,1.0,15,Hotel,Hotel,163984.0,7,DOWNTOWN,47.60294,-122.33263,1904,13723820.0,0,112,0.0,10932.266666666666,6.098155917650502e-06,2.0
153163.0,133884.0,19279,1.0,11,Hotel,Hotel,133884.0,7,DOWNTOWN,47.60695,-122.33414,1969,16016644.0,1,47,0.12587243655452035,12171.272727272728,6.528991988926829e-06,2.0
224864.625,196071.25,61161,1.0,25,Hotel,Hotel,192159.375,7,DOWNTOWN,47.60713,-122.33323,1998,16336999.203125,1,18,0.27199031417236036,7842.85,4.447120128388358e-06,2.0
65009.0,65009.0,0,1.0,9,Hotel,Hotel,65009.0,7,DOWNTOWN,47.60699,-122.33346,1928,6596057.5,0,88,0.0,7223.222222222223,1.5382485502007415e-05,2.0
224864.625,196071.25,57600,1.0,33,Hotel,Hotel,192159.375,7,DOWNTOWN,47.60809,-122.33212,1980,16336999.203125,1,36,0.2561541193951694,5941.55303030303,4.447120128388358e-06,2.0
92190.0,66990.0,25200,1.0,11,Hotel,Hotel,67390.0,7,DOWNTOWN,47.60755,-122.33244,1922,10750010.0,1,94,0.2733485193621868,6090.0,1.0847163466753444e-05,2.0
224864.625,196071.25,57000,1.0,11,Other,Library,192159.375,7,DOWNTOWN,47.60649,-122.33297,2004,16336999.203125,1,12,0.2534858473181364,17824.659090909092,4.447120128388358e-06,2.0
103911.0,103911.0,0,1.0,6,Other,Fitness Center/Health Club/Gym,90000.0,7,DOWNTOWN,47.60546,-122.33279,1930,9956396.0,0,86,0.0,17318.5,9.623620213451896e-06,2.0
224864.625,196071.25,85000,1.0,28,Hotel,Hotel,192159.375,7,DOWNTOWN,47.60681,-122.33078,1983,16336999.203125,1,33,0.3780052109130104,7002.544642857143,4.447120128388358e-06,2.0
57452.0,57452.0,0,1.0,5,Mixed Use Property,Social/Meeting Hall,16442.0,7,DOWNTOWN,47.60515,-122.33159,1907,7606084.5,0,109,0.0,11490.4,1.7405834435702847e-05,2.0
104352.0,104352.0,0,1.0,10,Hotel,Hotel,104352.0,7,DOWNTOWN,47.60376,-122.33194,1916,10154608.0,0,100,0.0,10435.2,9.58295001533272e-06,2.0
224864.625,196071.25,0,1.0,10,Other,Courthouse,192159.375,7,DOWNTOWN,47.60265,-122.33051,1916,16336999.203125,0,100,0.0,19607.125,4.447120128388358e-06,2.0
224864.625,196071.25,0,1.0,19,Other,Other,192159.375,3,DOWNTOWN,47.60378,-122.32842,1985,16336999.203125,0,31,0.0,10319.53947368421,4.447120128388358e-06,2.0
88592.0,58006.0,30586,1.0,6,Hotel,Hotel,58006.0,4,NORTHEAST,47.65959,-122.31755,2001,3663534.5,1,15,0.34524562037204265,9667.666666666666,1.1287700921076395e-05,9.0
126593.0,126593.0,0,1.0,7,University,College/University,125000.0,7,DOWNTOWN,47.61816,-122.33629,1928,11343686.0,0,88,0.0,18084.714285714286,7.899330926670512e-06,2.0
67224.0,67224.0,0,1.0,2,Other,Automobile Dealership,67224.0,7,DOWNTOWN,47.615,-122.33081,1930,1310236.625,0,86,0.0,33612.0,1.4875639652505058e-05,2.0
158676.0,128375.0,30301,1.0,8,Hotel,Hotel,112676.0,7,EAST,47.61301,-122.32929,1991,5328051.5,1,25,0.19096145604880385,16046.875,6.3021502936802034e-06,2.0
171866.0,133585.0,38281,1.0,10,Hotel,Hotel,128909.0,7,DOWNTOWN,47.61784,-122.32966,2001,11061916.0,1,15,0.22273748152630538,13358.5,5.818486495292845e-06,2.0
68410.0,52210.0,16200,1.0,5,Hotel,Hotel,47994.0,7,DOWNTOWN,47.61558,-122.34186,1978,4456714.5,1,38,0.2368074842859231,10442.0,1.4617745943575501e-05,2.0
87262.0,87262.0,0,1.0,3,Small- and Mid-Sized Office,Office,40943.0,4,LAKE UNION,47.6641,-122.33118,1906,4145920.5,0,110,0.0,29087.333333333332,1.1459741926611813e-05,9.0
